Название;Цена;Материал верха;Материал низа;Сезон
Черные кроссовки из кожи;4 249;Натуральная кожа;Натуральная кожа;Всесезон
Черные кроссовки из кожи на шнуровке;4 139;Натуральная кожа;Текстиль;Всесезон
Синие кроссовки из комбинированных материалов;3 239;Текcтиль / нат. велюр гидрофобный;Без подкладки;Всесезон
Синие лоферы из спилка;8 099;Нат. велюр гидрофобный;Без подкладки;Всесезон
Белые кеды из кожи;6 299;Натуральная кожа;Текстиль;Всесезон
Черные кеды из комбинированных материалов;4 759;Нат. кожа / текстиль;Натуральная кожа;Всесезон
Бело-серые кеды из кожи;7 199;Натуральная кожа;Искусственная кожа;Всесезон
Черные кеды из кожи на шнуровке;5 354;Натуральная кожа;Текстиль;Всесезон
Золотые босоножки на танкетке из кожи;5 699;Натуральная кожа;Искусственная кожа;Лето
Комбинированные кроссовки с декором;4 749;Нат. кожа / текстиль;Натуральная кожа;Лето
Черные сапоги из комбинированных материалов;6 999;Стрейч / нат. кожа;Текстиль;Демисезон
Коричневые сапоги из кожи;5 999;Натуральная кожа;Текстиль;Демисезон
Синие сапоги из кожи с узким голенищем;4 999;Стрейч / нат. кожа;Текстиль;Демисезон
Черные ботильоны на каблуке;5 999;Натуральная кожа;Текстиль;Демисезон
Черные ботильоны из кожи на каблуке;5 999;Натуральная кожа;Текстиль;Демисезон
